slug,provider,actionButtons,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,trial,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
alchemy-free,Alchemy,,null,The Graph,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""2 subgraph deployments"",""200K queries"",""throughput 5 queries/s"",""stored entities 100K""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Discord support""]"
alchemy-pay-as-you-go,Alchemy,,null,The Graph,Pay-as-you-go,$5/$45/$215/$415/$815/$2K,"$20/1M queries, $25/1M entities",NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""30 subgraph deployments"",""throughput 30 queries/s""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Priority support""]"
alchemy-enterprise,Alchemy,,null,The Graph,Enterprise,Custom,Custom pricing & SLAs,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""Unlimited subgraph deployments"",""Custom limits""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Unlimited throughput"",""Unlimited apps & webhooks"",""<2m response time VIP support"",""SLA""]"
chain-love-free,Chain.Love,,0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf,The Graph,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL""]",,"[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting""]","[""Subgraph logs"",""Usage logs""]","[""Japan""]",
chainstack-free,Chainstack,,null,The Graph,Free,$0,$20/1M request units for extra usage,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL""]","[""3M request units/mo, 20 request units/subgraph request"",""25 RPS"",""1 subgraph""]","[""DDoS Protection"",""IP Protection""]","[""Subgraph logs"",""Usage analytics""]","[""Global""]","[""Custom Subgraphs"",""GraphQL Queries"",""Standard Support""]"
chainstack-pay-as-you-go,Chainstack,,null,The Graph,Pay-as-you-go,$5(first month only)/$49/$199/$349 + $72 per subgraph,$15/$12.5/$10/1M request units for extra usage,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL""]","[""20M/80M/140M request units/mo, 20 request units/subgraph request"",""250/400/600 RPS"",""10/15/20 subgraphs""]","[""DDoS Protection"",""IP Protection"",""Dedicated Node""]","[""Subgraph logs"",""Usage analytics"",""Debug and Trace API""]","[""Global""]","[""Custom Subgraphs"",""GraphQL Queries"",""Standard Support""]"
chainstack-enterprise,Chainstack,,null,The Graph,Enterprise,$990,$5/1M request units for extra usage,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL""]","[""400M request units/mo, 20 request units/subgraph request"",""Up to 1K RPS""]","[""DDoS Protection"",""IP Protection"",""Dedicated Node"",""Dedicated Gateway""]","[""Subgraph logs"",""Usage analytics"",""Debug and Trace API""]","[""Global""]","[""Custom Subgraphs"",""GraphQL Queries"",""Standard Support"",""Platform Automation""]"
dipdup-free,dipDup,,null,Custom,Free,$0,$0 (self-hosted open-source),NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""Code-gen APIs""]",,"[""Open-source stack security""]","[""Logs"",""Analytics""]","[""Global""]","[""Fast setup templates"",""Open-source""]"
dipdup-enterprise,dipDup,,null,Custom,Enterprise,$0,$0 (self-hosted open-source),NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""Code-gen APIs""]",,"[""Open-source stack security""]","[""Logs"",""Analytics""]","[""Global""]","[""Fast setup templates"",""Open-source""]"
envio-free,Envio,,null,Custom,Free,$0,null,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""Custom Handlers""]","[""750 indexing hours"",""100 req/min"",""<= 100K entities stored"",""100 contracts""]","[""DDoS Protection"",""IP Protection""]","[""Indexer logs"",""Usage analytics""]","[""Global""]","[""Multichain Indexing"",""Email support"",""JS/TS/ReScript indexers""]"
