slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
4everland-free,4everland,"[""[Website](https://www.4everland.org/)""]",Development platform,"[""Storage"",""IPFS"",""Decentralized""]",$0,Free,,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications",FALSE
4everland-pay-as-you-go,4everland,"[""[Docs](https://docs.4everland.org/get-started/billing-and-pricing/pricing-model)""]",Development platform,"[""Storage"",""IPFS"",""Decentralized""]",Custom,Pay-As-You-Go,,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications",FALSE
aa-bundler,AA Bundler,"[""[Website](https://github.com/Vid201/aa-bundler/)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Bundler"",""Web3 developer tools"",""Smart contract wallets""]",$0,Free,,"It is a specialized node that collects, validates, and bundles pseudo-transaction objects called UserOperations from an alternative mempool into a single transaction that is then submitted to an on-chain EntryPoint contract",FALSE
aarc,Aarc,"[""[Website](https://www.aarc.xyz/)"",""[Docs](https://docs.aarc.xyz/concepts/fees/)""]",Tool,"[""One-click deposits""]",Custom,Enterprise,,"It offers a modular, omnichain network and infrastructure for Web3 applications, focusing on simplifying user onboarding and managing multi-chain deposits.",FALSE
abi-parser,ABI Parser,"[""[Website](https://abi-parser-nvk.vercel.app/)""]",Tool,"[""ABI tools"",""Smart contract ABI"",""Decode Ethereum calldata"",""Encode smart contract data""]",Custom,Enterprise,,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,FALSE
agent-kit,Coinbase,"[""[Website](https://docs.cdp.coinbase.com/agent-kit/welcome)""]",Tool,"[""AI agents""]",Custom,Enterprise,,Toolkit enabling AI agents to interact with blockchain networks with secure wallet management and comprehensive onchain capabilities,FALSE
alchemy-bundler-free,Alchemy Bundler,"[""[Website](https://github.com/alchemyplatform/rundler)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$0,Free,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-pay-as-you-go,Alchemy Bundler,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-enterprise,Alchemy Bundler,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",Custom,Enterprise,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-gas-manager-free,Alchemy Gas Manager,"[""[Website](https://www.alchemy.com/dapps/gas-manager)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$0,Free,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-pay-as-you-go,Alchemy Gas Manager,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-enterprise,Alchemy Gas Manager,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",Custom,Enterprise,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-smart-wallet-free,Alchemy Smart Wallet,"[""[Website](https://www.alchemy.com/smart-wallets-infrastructure)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$0,Free,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-pay-as-you-go,Alchemy Smart Wallet,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-enterprise,Alchemy Smart Wallet,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",Custom,Enterprise,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-transaction-free,Alchemy Transaction,"[""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$0,Free,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
alchemy-transaction-pay-as-you-go,Alchemy Transaction,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
alchemy-transaction-enterprise,Alchemy Transaction,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",Custom,Enterprise,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
ape-worx-evm-trace,ApeWorx EVM Trace,"[""[Website](https://github.com/ApeWorX/evm-trace)""]",Testing and Debugging,"[""EVM Trace"",""Ethereum Debugging"",""Smart Contract Debugging"",""Transaction Tracing""]",$0,Free,,Python-dependent developer tool designed for debugging and analyzing Ethereum Virtual Machine transactions and smart contract execution,FALSE
apeworx,ApeWorx,"[""[Docs](https://docs.apeworx.io/)""]",Development platform,"[""Web3"",""CLI"",""Smart Contracts""]",Custom,Custom,,"It provides a suite of Python-based, modular tools for Web3 developers to build, test, and deploy smart contracts and automated applications across various blockchain networks",FALSE
apillon-the-cocoon,Apillon,"[""[Buy](https://apillon.io/pricing)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$79.9/mo,Tiered,The Cocoon,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
apillon-the-caterpillar,Apillon,"[""[Buy](https://apillon.io/pricing)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$19.90/mo,Tiered,The Caterpillar,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
apillon-the-egg,Apillon,"[""[Website](https://apillon.io/)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$0,Free,The Egg,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
arka-developer,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$49/mo,Tiered,Developer,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-enterprise,Arka,"[""[Contact](https://etherspot.io/get-quote/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",Custom,Enterprise,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-free,Arka,"[""[Website](https://etherspot.io/arka-paymaster/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$0,Free,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-scale,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$99/mo,Tiered,Scale,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-startup,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$299/mo,Tiered,Startup,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
block-bucket-pay-as-you-go,BlockBucket,"[""[Website](https://blockbucket.io/)""]",Tool,"[""Airdrop tool"",""Token management"",""Web3 developer tool""]",0.01 ETH + Gas fee,Pay-as-you-go,,It is a developer tool and Web3 decentralized application that helps project creators and developers airdrop ERC-20 project tokens to multiple Ethereum addresses simultaneously,FALSE
bitbond-token-tool-enterprise,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Custom,Enterprise,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
bitbond-token-tool-pay-as-you-go,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based,Pay-as-you-go,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
blocknative-batch-decoder,Blocknative,"[""[Website](https://blocknative.com/)"",""[Doc](https://docs.blocknative.com/ethernow/batch-decoder-api)""]",Tool,"[""Batch Decoder"",""Mempool Analysis"",""OP Stack"",""Explorer""]",Custom,Enterprise,,"It offers a suite of APIs, SDKs, and tools that help developers and traders monitor, manage, and optimize blockchain transactions by providing visibility into the mempool",FALSE
blocksec-phalcon,Blocksec Phalcon,"[""[Website](https://phalcon.xyz/)""]",Security and compliance,"[""Web3 security"",""Smart contract security"",""Blockchain security""]",Custom,Enterprise,,"It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",FALSE
blowfish-enterprise,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Custom,Enterprise,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
blowfish-free,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",$0,Free,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
