slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
0x-cert,0xCert,"[""[Website](https://github.com/0xcert/framework/)""]",Framework,"[""0xcert"",""Blockchain"",""dApp"",""Decentralized applications"",""Framework""]",$0,Free,,"It is JavaScript framework and protocol that provides a comprehensive suite of tools for building decentralized applications that manage digital assets, specifically non-fungible tokens and fungible tokens, across multiple blockchains",FALSE
4everland-free,4everland,"[""[Website](https://www.4everland.org/)""]",Development platform,"[""Storage"",""IPFS"",""Decentralized""]",$0,TBD,,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications",FALSE
4everland-pay-as-you-go,4everland,"[""[Docs](https://docs.4everland.org/get-started/billing-and-pricing/pricing-model)""]",Development platform,"[""Storage"",""IPFS"",""Decentralized""]",Custom,TBD,,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications",FALSE
aa-bundler,AA Bundler,"[""[Website](https://github.com/Vid201/aa-bundler/)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Bundler"",""Web3 developer tools"",""Smart contract wallets""]",$0,Free,,"It is a specialized node that collects, validates, and bundles pseudo-transaction objects called UserOperations from an alternative mempool into a single transaction that is then submitted to an on-chain EntryPoint contract",FALSE
aarc,Aarc,"[""[Website](https://www.aarc.xyz/)"",""[Docs](https://docs.aarc.xyz/concepts/fees/)""]",Tool,"[""One-click deposits""]",$0,Free,,"It offers a modular, omnichain network and infrastructure for Web3 applications, focusing on simplifying user onboarding and managing multi-chain deposits.",FALSE
abi-parser,ABI Parser,"[""[Website](https://abi-parser-nvk.vercel.app/)""]",Tool,"[""ABI tools"",""Smart contract ABI"",""Decode Ethereum calldata"",""Encode smart contract data""]",$0,Free,,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,FALSE
agent-kit,Coinbase,"[""[Website](https://docs.cdp.coinbase.com/agent-kit/welcome)""]",Tool,"[""AI agents""]",$0,Free,,Toolkit enabling AI agents to interact with blockchain networks with secure wallet management and comprehensive onchain capabilities,FALSE
alchemy-bundler-free,Alchemy Bundler,"[""[Website](https://github.com/alchemyplatform/rundler)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$0,Free,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-pay-as-you-go,Alchemy Bundler,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-enterprise,Alchemy Bundler,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",Custom,Enterprise,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
