slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
algokit-cli,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/)""]",CLI,"[""Bootstrap"",""Compile"",""Completions"",""Deploy"",""Dispenser"",""Doctor"",""Explore"",""Generate"",""Goal"",""Init"",""LocalNet"",""Project"",""Task""]",$0,,Free,"A comprehensive CLI and toolkit for building, testing, deploying, and debugging Algorand apps",FALSE
algokit-localnet,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-localnet)""]",Network Simulator,"[""Local sandboxed network"",""Ephemeral environment"",""Docker-based"",""KMD enabled"",""Named LocalNet instances"",""Configuration management"",""Offline usage"",""Developer-focused features""]",$0,,Free,Runs a local sandboxed Algorand network for offline development and testing using Docker images.,FALSE
algokit-utils,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-utils)""]",Utility Library,"[""Python"",""TypeScript"",""Client management"",""Account management"",""Algo amount handling"",""Transaction management"",""App management"",""App deployment"",""ARC-0032 Application Spec client"",""Algo transfers"",""Automated testing"",""Indexer searching""]",$0,,Free,Utility functions in TypeScript and Python to interact with Algorand blockchain easily and safely.,FALSE
avm-debugger,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#avm-debugger)""]",Smart Contract Debugger,"[""Debug trace files"",""TEAL source map tags"",""Debugging configuration tags""]",$0,,Free,VS Code extension to debug Algorand TEAL smart contracts interactively.,FALSE
client-generator,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#client-generator)""]",Code Generator,"[""Python"",""TypeScript""]",$0,,Free,Generates type-safe smart contract clients from ARC-0032 specifications for easy contract interaction,FALSE
ipfs,!provider:ipfs,,,,,,,,
mosaia-free,!provider:mosaia-free,,,,,,,,
mosaia-pay-as-you-go,!provider:mosaia-pay-as-you-go,,,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,,,
portal-free,!provider:portal-free,,,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,,,
privy,!provider:privy,,,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,,,
