slug,provider,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains,txSpeedSla,throughputSla
across,Across,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast bridging"",""Single liquidity pool""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Secured via UMA oracle + relayers,,Decentralized,"[""SDK"",""Web UI""]","[""[Bridge](https://app.across.to/bridge)"",""[Docs](https://docs.across.to/)""]","[""hyperevm"",""arbitrum one"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""lens"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksync era""]",NULL,NULL
allbridge-core,Allbridge Core,Stablecoin Bridge via Native Liquidity,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer""]",,"[""No wrapping"",""Native liquidity pools"",""CEX-to-chain deposits""]","[""Stablecoins"",""ERC-20""]",Gas Fee + protocol fee,TRUE,"Native stablecoin pools, messaging-agnostic","[""Independent audits (per DefiLlama)""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://core.allbridge.io/)"",""[Docs](https://docs-core.allbridge.io/)""]","[""arbitrum"",""avalanche"",""base"",""bnb chain"",""celo"",""ethereum"",""linea"",""optimism"",""polygon"",""sonic"",""solana"",""stellar"",""sui"",""tron"",""unichain""]",NULL,NULL
alldomains-bridge,AllDomains Bridge,Domain & Data Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset & Data Transfer""]",,"[""Bridge Web2 domains to Web3 asset portrait"",""Hyperlink via Hyperlane provider""]","[""NFT""]",Gas Fee,TRUE,Hyperlane‑powered bridge for domain/data between chains,,Decentralized,"[""TypeScript""]","[""[Bridge](https://bridge.alldomains.id)"",""[Docs](https://docs.alldomains.id/protocol)""]","[""ethereum"",""solana"",""sonic svm"",""eclipse""]",NULL,NULL
altitude,Altitude,LayerZero-based Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Built on LayerZero"",""Decentralized routing""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Security via LayerZero DVN & oracle messaging,,Decentralized,"[""Web UI""]","[""[Bridge](https://www.altitudedefi.com/transfer)"",""[Docs](https://altitude-1.gitbook.io/altitude/)""]","[""ethereum"",""polygon"",""fantom"",""arbitrum"",""optimism"",""linea"",""mantle""]",NULL,NULL
arbitrum-native,Arbitrum,Native,TRUE,"[""[Discord](https://discord.gg/arbitrum)"",""[Help Center](https://support.arbitrum.io/hc/en-us)""]",FALSE,"[""Bridge API""]","[""Bridge Transactions"",""Status Monitoring""]","[""Official Arbitrum Bridge"",""Token Tracking"",""USDC Support"",""Cross-chain Governance""]","[""ETH"",""ERC-20"",""USDC""]",Gas Fee,TRUE,Native canonical bridge maintained by Arbitrum,"[""Trail of Bits Nitro Audit"",""OpenZeppelin Bridge & Core Contracts Audit""]",Partially Decentralized,"[""TypeScript""]","[""[Bridge](https://bridge.arbitrum.io/)""]","[""ethereum mainnet"",""arbitrum one"",""arbitrum nova"",""syndicate network"",""gravity alpha"",""t-rex"",""hychain"",""sx"",""apechain"",""superposition"",""xchain"",""plume mainnet"",""hpp mainnet"",""galactica mainnet"",""humanity mainnet"",""rari network""]",NULL,NULL
asterizm,Asterizm,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging""]",,"[""Composable messaging"",""Intent‑based""]","[""ETH"",""USDC""]",Gas Fee + relayer fee,TRUE,Secured by validators and messaging relayers,,Decentralized,"[""Web UI""]","[""[Bridge](https://asterizm.io/)""]","[""ethereum"",""polygon"",""fantom"",""bnb smart chain"",""optimism"",""arbitrum"",""avalanche"",""celo"",""boba"",""aurora"",""venidium"",""bahamut"",""base"",""linea"",""mantle"",""gnosis"",""everscale"",""venom"",""xdc"",""ton"",""solana"",""lemonchain"",""torus"",""areon"",""units"",""redbelley"",""supra""]",NULL,NULL
axelar,Axelar,General Message Passing,TRUE,"[""Discord"",""Telegram"",""X""]",FALSE,"[""REST"",""GraphQL""]","[""Yes (Axelarscan)""]","[""Cross‑chain Messaging""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",[Gas Fee](https://support.edge.app/hc/en-us/articles/36422794159387-Axelar-AXL-Network-Fees),TRUE,Proof-of-stake permissionless validator set controls Axelar security protocols,"[""[GitHub](https://github.com/axelarnetwork/audits)""]",Decentralized,"[""TypeScript SDK""]","[""[Bridge](https://app.squidrouter.com/)""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"", ""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]",NULL,NULL
celer,Celer,Lock & Mint + Message Passing,TRUE,"[""Contact us form""]",FALSE,"[""REST"",""SDK"",""WebSocket""]","[""Transaction Monitoring"",""[CelerScan](https://celerscan.com/)""]","[""Decentralized cross‑chain transfers""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",Gas Fee,TRUE,[Optimistic-rollup + two-phase commit confirm pattern for cross-chain messages](https://cbridge-docs.celer.network/introduction/cbridge-security),"[""January 2023, by CertiK"", ""January 2023, by PeckShield"", ""January 2023, by SlowMist""]",Decentralized,"[""Node.JS""]","[""[Bridge](https://cbridge.celer.network)"",""[Docs](https://cbridge-docs.celer.network/)""]","[""ethereum"",""polygon"",""bnb chain"",""avalanche"",""arbitrum"",""optimism"",""base"",""linea"",""astar"",""shiden"",""fantom"",""unichain"",""zksync era"",""arbitrum nova"",""aptos"",""flow evm"",""metis"",""oasis emerald"",""evmos"",""aurora"",""moonbeam"",""moonriver"",""boba"",""gnosis"",""aura mainnet"",""bitcoin"",""blast"",""conflux"",""filecoin"",""flow cadence"",""gravity alpha mainnet"",""injective"",""kava evm co-chain"",""klaytn"",""manta pacific mainnet"",""milkomeda c1"",""oasis sapphire"",""oasis hub-layer"",""platon"",""redbelly"",""sx"",""scroll"",""sui mainnet"",""x layer"",""opbnb""]",NULL,NULL
chainlink-bridge,Chainlink Bridge,Oracle‑Powered Asset & Messaging Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Token Transfer""]",,"[""Based on Chainlink CCIP"",""Enterprise‑grade relayer architecture""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security by Chainlink decentralized oracle network,"[""Multiple audits""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://chain.link/cross-chain)""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""mantle"",""bnb chain"",""polygon"",""aptos"",""solana"",""celo"",""blast"",""gnosis"",""metis"",""astar"",""mode""]",NULL,NULL
chainport,ChainPort,Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast transfer"",""Low fee (0.3%)""]","[""ETH"",""ERC‑20""]",Gas Fee + 0.3% fee,TRUE,Smart contract custody with optional insurance,,Partially Decentralized,"[""Web UI""]","[""[Bridge](https://app.chainport.io/)"",""[Docs](https://docs.chainport.io/)""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""cardano"",""bnb chain"",""polygon"",""fantom"",""dogechain"",""telos"",""moonriver"",""aurora"",""conflux"",""opbnb"",""humanode"",""step"",""stratis"",""rootstock"",""iota evm"",""chillz"",""neurochainai"",""iron fish"",""argochain"",""boba""]",NULL,NULL
