slug,provider,actionButtons,dataSources,hasDashboard,availableApis,price,starred
arkham,Arkham,"[""[Dashboard](https://intel.arkm.com/dashboards/explore)""]","[""Transactions"",""Active Users"",""Contracts"",""DApp Interactions""]",TRUE,"[""REST API"",""WebSocket API"",""Arkham Exchange API""]",Custom,FALSE
blockworks,Blockworks,"[""[Dashboard](https://blockworks.com/analytics)""]","[""Network fees"",""Transaction activity"",""Contracts deployed"",""Tokens created"",""Retention rate"",""Economics per defi type"",""AI Agents"",""Stablecoins swaps"",""Meme coins""]",TRUE,"[""Data API"",""Supported Data Types"",""Additional Tools and Libraries""]",$0,FALSE
cid-checker,CID Checker,"[""[Dashboard](https://filecoin.tools/)""]","[""Active Deals"",""Verified Deals""]",FALSE,"[""REST API""]",$0,FALSE
cryptoquant,CryptoQuant,"[""[Dashboard](https://cryptoquant.com/asset/eth)""]","[""Exchange Reserves"",""Network Transactions"",""Derivatives Data"",""Staking Data"",""Market Price/Volume""]",TRUE,"[""REST API""]","$0/$39/$109/mo (monthly plan), $0/$29/$99/$799/mo (yearly plan)",FALSE
dappradar,DappRadar,"[""[Dashboard](https://dappradar.com/)""]","[""Unique active wallets"",""Txs volume"",""Dapps number"",""Dapps volume"",""NFTs stats""]",TRUE,"[""REST API"",""No historical data on free API""]",api for $0/$9.99/$199/$499 for 5/5/30/50 RPS and 100/2.5K/100K/1M RPM,FALSE
defillama,DeFiLlama,"[""[Dashboard](https://defillama.com/)""]","[""DeFi TVL"",""DEX & Perps Volume"",""Bridged Assets"",""Active Addresses"",""Stablecoin Supply""]",TRUE,"[""REST API""]","$0/$49/$300/mo (monthly plan), $0 (2 months free)/$40.83/mo ($490/year)/$250/mo (3K/year) (yearly plan)",FALSE
dexscreener,DexScreener,"[""[Dashboard](https://dexscreener.com/)""]","[""DEX Trading Pairs"",""Token Prices"",""Volume"",""Liquidity"",""Swaps""]",TRUE,"[""REST API""]",$0,FALSE
dune,Dune,"[""[Dashboard](https://dune.com/)""]","[""Transactions"",""Gas Usage"",""Bridge Activity"",""Active Users"",""Token Transfers"",""Smart Contract Activity""]",TRUE,"[""SQL Queries"",""Visualizations""]","$0/$75/$399/mo (monthly plan), $0/$65/$349/mo (yearly plan)",FALSE
fil-plus-datacap,FilPlus DataCap Stats,"[""[Dashboard](https://datacapstats.io/about)""]","[""DataCap Usage"",""DataCap Allocators"", ""DataCap Clients"",""Storage Providers"",""Retrieval Success Rate"",""Storage provider compliance"",""Storage Provider Audit""]",TRUE,"[""REST API""]",$0,FALSE
glassnode,Glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ETH)""]","[""Address Metrics"",""Supply Dynamics"",""Exchange Reserves"",""Fee Revenue"",""Holder Metrics""]",TRUE,"[""REST API""]","$0/$99/$999/mo (monthly plan), $0/$49/$999/mo (yearly plan)",FALSE
